1, -35, -30, 1.5, 1
2, -35, -30, 4.5, 1
3, -35, -30, 7.5, 0
4, -35, -30, 10.5, 0
5, -35, -30, 13.5, 0
6, -35, -30, 16.5, 0
7, -35, -30, 19.5, 0
8, -35, -30, 22.5, 0
9, -35, -30, 25.5, 0
10, -35, -27, 1.5, 0
11, -35, -27, 4.5, 0
12, -35, -27, 7.5, 0
13, -35, -27, 10.5, 0
14, -35, -27, 13.5, 0
15, -35, -27, 16.5, 0
16, -35, -27, 19.5, 0
17, -35, -27, 22.5, 0
18, -35, -27, 25.5, 0
19, -35, -24, 1.5, 1
20, -35, -24, 4.5, 1
21, -35, -24, 7.5, 0
22, -35, -24, 10.5, 0
23, -35, -24, 13.5, 0
24, -35, -24, 16.5, 0
25, -35, -24, 19.5, 0
26, -35, -24, 22.5, 0
27, -35, -24, 25.5, 0
28, -35, -21, 1.5, 1
29, -35, -21, 4.5, 1
30, -35, -21, 7.5, 1
31, -35, -21, 10.5, 0
32, -35, -21, 13.5, 0
33, -35, -21, 16.5, 0
34, -35, -21, 19.5, 0
35, -35, -21, 22.5, 0
36, -35, -21, 25.5, 0
37, -35, -18, 1.5, 1
38, -35, -18, 4.5, 1
39, -35, -18, 7.5, 1
40, -35, -18, 10.5, 0
41, -35, -18, 13.5, 0
42, -35, -18, 16.5, 0
43, -35, -18, 19.5, 0
44, -35, -18, 22.5, 0
45, -35, -18, 25.5, 0
46, -35, -15, 1.5, 1
47, -35, -15, 4.5, 1
48, -35, -15, 7.5, 0
49, -35, -15, 10.5, 0
50, -35, -15, 13.5, 0
51, -35, -15, 16.5, 0
52, -35, -15, 19.5, 0
53, -35, -15, 22.5, 0
54, -35, -15, 25.5, 0
55, -35, -12, 1.5, 0
56, -35, -12, 4.5, 0
57, -35, -12, 7.5, 0
58, -35, -12, 10.5, 0
59, -35, -12, 13.5, 0
60, -35, -12, 16.5, 0
61, -35, -12, 19.5, 0
62, -35, -12, 22.5, 0
63, -35, -12, 25.5, 0
64, -35, -9, 1.5, 1
65, -35, -9, 4.5, 1
66, -35, -9, 7.5, 1
67, -35, -9, 10.5, 1
68, -35, -9, 13.5, 0
69, -35, -9, 16.5, 0
70, -35, -9, 19.5, 0
71, -35, -9, 22.5, 0
72, -35, -9, 25.5, 0
73, -35, -6, 1.5, 1
74, -35, -6, 4.5, 1
75, -35, -6, 7.5, 1
76, -35, -6, 10.5, 1
77, -35, -6, 13.5, 0
78, -35, -6, 16.5, 0
79, -35, -6, 19.5, 0
80, -35, -6, 22.5, 0
81, -35, -6, 25.5, 0
82, -35, -3, 1.5, 1
83, -35, -3, 4.5, 1
84, -35, -3, 7.5, 1
85, -35, -3, 10.5, 1
86, -35, -3, 13.5, 0
87, -35, -3, 16.5, 0
88, -35, -3, 19.5, 0
89, -35, -3, 22.5, 0
90, -35, -3, 25.5, 0
91, -35, 0, 1.5, 1
92, -35, 0, 4.5, 1
93, -35, 0, 7.5, 1
94, -35, 0, 10.5, 1
95, -35, 0, 13.5, 1
96, -35, 0, 16.5, 1
97, -35, 0, 19.5, 0
98, -35, 0, 22.5, 0
99, -35, 0, 25.5, 0
100, -35, 3, 1.5, 1
101, -35, 3, 4.5, 1
102, -35, 3, 7.5, 1
103, -35, 3, 10.5, 1
104, -35, 3, 13.5, 1
105, -35, 3, 16.5, 1
106, -35, 3, 19.5, 0
107, -35, 3, 22.5, 0
108, -35, 3, 25.5, 0
109, -35, 6, 1.5, 1
110, -35, 6, 4.5, 1
111, -35, 6, 7.5, 1
112, -35, 6, 10.5, 1
113, -35, 6, 13.5, 1
114, -35, 6, 16.5, 1
115, -35, 6, 19.5, 0
116, -35, 6, 22.5, 0
117, -35, 6, 25.5, 0
118, -35, 9, 1.5, 1
119, -35, 9, 4.5, 1
120, -35, 9, 7.5, 1
121, -35, 9, 10.5, 1
122, -35, 9, 13.5, 1
123, -35, 9, 16.5, 1
124, -35, 9, 19.5, 0
125, -35, 9, 22.5, 0
126, -35, 9, 25.5, 0
127, -35, 12, 1.5, 1
128, -35, 12, 4.5, 1
129, -35, 12, 7.5, 1
130, -35, 12, 10.5, 1
131, -35, 12, 13.5, 1
132, -35, 12, 16.5, 1
133, -35, 12, 19.5, 0
134, -35, 12, 22.5, 0
135, -35, 12, 25.5, 0
136, -35, 15, 1.5, 1
137, -35, 15, 4.5, 1
138, -35, 15, 7.5, 1
139, -35, 15, 10.5, 1
140, -35, 15, 13.5, 1
141, -35, 15, 16.5, 1
142, -35, 15, 19.5, 0
143, -35, 15, 22.5, 0
144, -35, 15, 25.5, 0
145, -35, 18, 1.5, 0
146, -35, 18, 4.5, 0
147, -35, 18, 7.5, 0
148, -35, 18, 10.5, 0
149, -35, 18, 13.5, 0
150, -35, 18, 16.5, 0
151, -35, 18, 19.5, 0
152, -35, 18, 22.5, 0
153, -35, 18, 25.5, 0
154, -35, 21, 1.5, 1
155, -35, 21, 4.5, 0
156, -35, 21, 7.5, 0
157, -35, 21, 10.5, 0
158, -35, 21, 13.5, 0
159, -35, 21, 16.5, 0
160, -35, 21, 19.5, 0
161, -35, 21, 22.5, 0
162, -35, 21, 25.5, 0
163, -35, 24, 1.5, 1
164, -35, 24, 4.5, 0
165, -35, 24, 7.5, 0
166, -35, 24, 10.5, 0
167, -35, 24, 13.5, 0
168, -35, 24, 16.5, 0
169, -35, 24, 19.5, 0
170, -35, 24, 22.5, 0
171, -35, 24, 25.5, 0
172, -35, 27, 1.5, 1
173, -35, 27, 4.5, 0
174, -35, 27, 7.5, 0
175, -35, 27, 10.5, 0
176, -35, 27, 13.5, 0
177, -35, 27, 16.5, 0
178, -35, 27, 19.5, 0
179, -35, 27, 22.5, 0
180, -35, 27, 25.5, 0
181, -35, 30, 1.5, 1
182, -35, 30, 4.5, 0
183, -35, 30, 7.5, 0
